"ID","pracword","valence","word","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","key_resp_3.keys","key_resp_3.rt","key_resp_4.keys","key_resp_4.rt","response.keys","response.corr","response.rt","date","frameRate","expName","session","participant","trial40","trial40c","rt","logrt","id","valenceE","rtms","idcat","valence2","valcat","val2cat"
204,NA,"negative","cynical",NA,NA,NA,NA,0,27,27,37,NA,NA,NA,NA,"up",0,0.909418821,"2016_Sep_30_1202",60.00452076,"heterogeneity160929b",1,204,28,0.2,0.909418821,6.81280573724009,204,-0.5,909.418821,"204",-1,"-0.5","-1"
204,NA,"negative","anxious",NA,NA,NA,NA,0,28,28,35,NA,NA,NA,NA,"down",0,0.676243067,"2016_Sep_30_1202",60.00452076,"heterogeneity160929b",1,204,29,0.225,0.676243067,6.51655257798244,204,-0.5,676.243067,"204",-1,"-0.5","-1"
204,NA,"negative","stubborn",NA,NA,NA,NA,0,29,29,39,NA,NA,NA,NA,"up",0,0.775966883,"2016_Sep_30_1202",60.00452076,"heterogeneity160929b",1,204,30,0.25,0.775966883,6.65410984272616,204,-0.5,775.966883,"204",-1,"-0.5","-1"
204,NA,"positive","enthusiastic",NA,NA,NA,NA,0,30,30,16,NA,NA,NA,NA,"down",0,0.891038895,"2016_Sep_30_1202",60.00452076,"heterogeneity160929b",1,204,31,0.275,0.891038895,6.79238807971669,204,0.5,891.038895,"204",1,"0.5","1"
204,NA,"positive","wise",NA,NA,NA,NA,0,31,31,19,NA,NA,NA,NA,"up",0,0.561015844,"2016_Sep_30_1202",60.00452076,"heterogeneity160929b",1,204,32,0.3,0.561015844,6.32974914754813,204,0.5,561.015844,"204",1,"0.5","1"
204,NA,"negative","irritable",NA,NA,NA,NA,0,32,32,27,NA,NA,NA,NA,"down",0,0.791898966,"2016_Sep_30_1202",60.00452076,"heterogeneity160929b",1,204,33,0.325,0.791898966,6.6744338154951,204,-0.5,791.898966,"204",-1,"-0.5","-1"
204,NA,"positive","disciplined",NA,NA,NA,NA,0,33,33,1,NA,NA,NA,NA,"up",0,0.624965906,"2016_Sep_30_1202",60.00452076,"heterogeneity160929b",1,204,34,0.35,0.624965906,6.43769709784847,204,0.5,624.965906,"204",1,"0.5","1"
204,NA,"positive","tidy",NA,NA,NA,NA,0,34,34,4,NA,NA,NA,NA,"up",0,0.727607012,"2016_Sep_30_1202",60.00452076,"heterogeneity160929b",1,204,35,0.375,0.727607012,6.58976108376081,204,0.5,727.607012,"204",1,"0.5","1"
204,NA,"negative","worrying",NA,NA,NA,NA,0,35,35,32,NA,NA,NA,NA,"up",0,0.909124851,"2016_Sep_30_1202",60.00452076,"heterogeneity160929b",1,204,36,0.4,0.909124851,6.81248243458084,204,-0.5,909.124851,"204",-1,"-0.5","-1"
204,NA,"positive","talented",NA,NA,NA,NA,0,36,36,0,NA,NA,NA,NA,"up",0,0.642563105,"2016_Sep_30_1202",60.00452076,"heterogeneity160929b",1,204,37,0.425,0.642563105,6.46546502984515,204,0.5,642.563105,"204",1,"0.5","1"
204,NA,"positive","confident",NA,NA,NA,NA,0,37,37,7,NA,NA,NA,NA,"up",0,1.04205513,"2016_Sep_30_1202",60.00452076,"heterogeneity160929b",1,204,38,0.45,1.04205513,6.94895012878322,204,0.5,1042.05513,"204",1,"0.5","1"
204,NA,"negative","tense",NA,NA,NA,NA,0,38,38,26,NA,NA,NA,NA,"down",0,0.993720055,"2016_Sep_30_1202",60.00452076,"heterogeneity160929b",1,204,39,0.475,0.993720055,6.90145553218119,204,-0.5,993.720055,"204",-1,"-0.5","-1"
204,NA,"positive","idealistic",NA,NA,NA,NA,0,39,39,3,NA,NA,NA,NA,"up",0,0.674777985,"2016_Sep_30_1202",60.00452076,"heterogeneity160929b",1,204,40,0.5,0.674777985,6.5143837256583,204,0.5,674.777985,"204",1,"0.5","1"
