"Participant","block","trial","stim","stimgroup","RT","Acuracy","stimposition","maskside","response","Correct_numeric","Acuracy_fixed_mean","filter_.","ZRT","Outlire","AlertEffect_first","OrientingEffect_first","ConflictEffect_first","GrandMeanEffect_first","ANT_Accuracy_first","Dominant_Eye_first","Right_Eye_Acuity_first","Left_Eye_Acuity_first","Age_first","Gender1male2female_first","Face_orientation","fo1","fo2","trial.r"
1,2,17,"folder/matchedM019.png  ",1,1.316906593,1,4,2,4,1,0.947916667,"Selected",-0.475277512,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,16
1,2,18,"folder/matchedM006SL.png",5,1.149329135,1,4,2,4,1,0.947916667,"Selected",-0.628173092,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,17
1,2,19,"folder/matchedM001SR.png",5,2.086219302,1,2,2,2,1,0.947916667,"Selected",0.2266338,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,18
1,2,20,"folder/matchedM017IN.png",3,1.147587181,1,3,2,3,1,0.947916667,"Selected",-0.629762429,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,2,0,1,19
1,2,21,"folder/matchedM016.png  ",1,1.02242775,1,1,2,1,1,0.947916667,"Selected",-0.743956331,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,20
1,2,22,"folder/matchedM002SL.png",5,1.085902006,1,4,2,4,1,0.947916667,"Selected",-0.686043213,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,21
1,2,23,"folder/matchedM016SL.png",6,1.093227514,1,1,1,1,1,0.947916667,"Selected",-0.679359511,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,22
1,2,24,"folder/matchedM067.png  ",1,1.126879427,1,4,2,4,1,0.947916667,"Selected",-0.648655925,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,23
1,2,25,"folder/matchedM008.png  ",2,1.154658506,1,2,1,2,1,0.947916667,"Selected",-0.62331064,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,24
1,2,26,"folder/matchedM006.png  ",1,1.005945131,1,1,2,1,1,0.947916667,"Selected",-0.758994867,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,25
