time,phase,hr,ibi,rrate,ramp,hrbase,ibibase,b.hr,b.ibi,b.rrate,b.ramp,b.hrbase,b.ibibase
182,femaleprovide,75.58579,793.8,16.562443,0.005206,68.6811477,874.6273232,96,625,13.761992,0.000301,89.4462967,672.0490033
183,femaleprovide,70.241161,854.2,16.021055,0.000389,68.6811477,874.6273232,70.339977,853,25.295779,0.000017,89.4462967,672.0490033
184,femaleprovide,73.331704,818.2,15.374176,0.000732,68.6811477,874.6273232,87.536474,685.428571,18.755664,0.000165,89.4462967,672.0490033
185,femaleprovide,68.571429,875,20.974875,0.000687,68.6811477,874.6273232,83.526682,718.333333,21.860674,0.000115,89.4462967,672.0490033
186,femaleprovide,76.303518,786.333333,19.124279,0.000365,68.6811477,874.6273232,94.736842,633.333333,14.976575,0.000813,89.4462967,672.0490033
187,femaleprovide,83.740405,716.5,12.454014,0.003398,68.6811477,874.6273232,88.179719,680.428571,20.061351,0.000336,89.4462967,672.0490033
188,femaleprovide,72.815534,824,15.608247,0.011647,68.6811477,874.6273232,85.551331,701.333333,17.976153,0.000234,89.4462967,672.0490033
189,femaleprovide,66.815145,898,16.808426,0.001884,68.6811477,874.6273232,83.526682,718.333333,19.443187,0.000056,89.4462967,672.0490033
190,femaleprovide,70.68803,848.8,13.643715,0.00073,68.6811477,874.6273232,87.484812,685.833333,18.748823,0.000755,89.4462967,672.0490033
191,femaleprovide,64.949123,923.8,17.252062,0.000087,68.6811477,874.6273232,86.684325,692.166667,16.469117,0.000302,89.4462967,672.0490033
192,femaleprovide,62.337662,962.5,18.093104,0.000063,68.6811477,874.6273232,92.940916,645.571429,12.59774,0.000151,89.4462967,672.0490033
193,femaleprovide,61.50692,975.5,13.135814,0.000448,68.6811477,874.6273232,75.677948,792.833333,20.59175,0.000164,89.4462967,672.0490033
194,femaleprovide,65.430752,917,16.571901,0.000208,68.6811477,874.6273232,87.676571,684.333333,15.089498,0.000146,89.4462967,672.0490033
195,femaleprovide,61.211998,980.2,20.232033,0.000253,68.6811477,874.6273232,81.355932,737.5,15.074771,0.000053,89.4462967,672.0490033
196,femaleprovide,64.533477,929.75,14.183492,0.001965,68.6811477,874.6273232,85.046067,705.5,15.745647,0.00016,89.4462967,672.0490033
197,femaleprovide,61.935484,968.75,8.839534,0.000086,68.6811477,874.6273232,84.765717,707.833333,17.882874,0.000028,89.4462967,672.0490033
198,femaleprovide,62.761506,956,11.907866,0.000023,68.6811477,874.6273232,89.307864,671.833333,14.819794,0.000033,89.4462967,672.0490033
199,femaleprovide,65.688636,913.4,13.989833,0.001946,68.6811477,874.6273232,85.939365,698.166667,19.818978,0.000031,89.4462967,672.0490033
200,femaleprovide,62.975597,952.75,17.978343,0.000387,68.6811477,874.6273232,92.267135,650.285714,23.494457,0.000011,89.4462967,672.0490033
201,femaleprovide,65.94856,909.8,13.700062,0.000228,68.6811477,874.6273232,92.879257,646,21.075581,0.000239,89.4462967,672.0490033
202,femaleprovide,68.571429,875,14.160294,0.002481,68.6811477,874.6273232,91.001011,659.333333,17.845264,0.000242,89.4462967,672.0490033
203,femaleprovide,61.871616,969.75,17.993965,0.00013,68.6811477,874.6273232,83.391244,719.5,16.464442,0.000088,89.4462967,672.0490033
204,femaleprovide,66.504101,902.2,17.758817,0.000026,68.6811477,874.6273232,88.127295,680.833333,19.055294,0.000119,89.4462967,672.0490033
205,femaleprovide,68.540096,875.4,15.924019,0.000333,68.6811477,874.6273232,86.83068,691,15.159975,0.000291,89.4462967,672.0490033
206,femaleprovide,63.795853,940.5,14.021078,0.000084,68.6811477,874.6273232,87.97654,682,16.379485,0.00012,89.4462967,672.0490033
207,femaleprovide,63.108073,950.75,20.702531,0.00051,68.6811477,874.6273232,95.671982,627.142857,15.396029,0.000512,89.4462967,672.0490033
208,femaleprovide,73.764446,813.4,21.055011,0.000793,68.6811477,874.6273232,77.439339,774.8,20.506809,0.000011,89.4462967,672.0490033
209,femaleprovide,65.14658,921,18.191031,0.00066,68.6811477,874.6273232,86.723106,691.857143,15.832379,0.00005,89.4462967,672.0490033
210,femaleprovide,67.969414,882.75,11.318205,0.000351,68.6811477,874.6273232,88.691796,676.5,14.637462,0.000161,89.4462967,672.0490033
211,femaleprovide,63.965885,938,19.060231,0.001634,68.6811477,874.6273232,89.219331,672.5,12.120335,0.000226,89.4462967,672.0490033
212,femaleprovide,69.621722,861.8,15.728038,0.001109,68.6811477,874.6273232,86.794792,691.285714,16.3599,0.000004,89.4462967,672.0490033
213,femaleprovide,60.560182,990.75,23.30731,0.000344,68.6811477,874.6273232,89.753179,668.5,11.249728,0.000014,89.4462967,672.0490033
214,femaleprovide,65.681445,913.5,12.624468,0.000817,68.6811477,874.6273232,88.823094,675.5,19.028818,0.000078,89.4462967,672.0490033
215,femaleprovide,60.544904,991,20.327438,0.000029,68.6811477,874.6273232,91.583079,655.142857,18.832618,0.000215,89.4462967,672.0490033
216,femaleprovide,62.909567,953.75,13.517927,0.003781,68.6811477,874.6273232,82.154267,730.333333,20.322969,0.000907,89.4462967,672.0490033
217,femaleprovide,63.77551,940.8,16.588057,0.000075,68.6811477,874.6273232,99.337748,604,13.223343,0.001491,89.4462967,672.0490033
218,femaleprovide,63.257775,948.5,14.332663,0.00107,68.6811477,874.6273232,93.562041,641.285714,12.484097,0.000107,89.4462967,672.0490033
219,femaleprovide,64.136825,935.5,24.34903,0.000397,68.6811477,874.6273232,94.765343,633.142857,13.341145,0.000255,89.4462967,672.0490033
220,femaleprovide,64.585576,929,11.253946,0.000449,68.6811477,874.6273232,81.337551,737.666667,16.847852,0.000068,89.4462967,672.0490033
221,femaleprovide,69.244085,866.5,15.651713,0.002415,68.6811477,874.6273232,93.288417,643.166667,15.655879,0.000068,89.4462967,672.0490033
222,femaleprovide,65.259952,919.4,20.288736,0.000235,68.6811477,874.6273232,87.810997,683.285714,20.620779,0.000026,89.4462967,672.0490033
223,femaleprovide,65.970313,909.5,17.143642,0.000057,68.6811477,874.6273232,81.234768,738.6,22.207634,0.00001,89.4462967,672.0490033
224,femaleprovide,64.613397,928.6,12.553148,0.00043,68.6811477,874.6273232,88.105727,681,16.541584,0.000025,89.4462967,672.0490033
225,femaleprovide,70.775582,847.75,13.9691,0.000883,68.6811477,874.6273232,82.530949,727,9.737341,0.000002,89.4462967,672.0490033
